geomtype|pass_size|abc|group|g|maxdegbf|lambdas|plabel|num_orbits|deg|BelyiDB_plabel|a_s|b_s|c_s|triples|aut_group
text|smallint|smallint[]|text|smallint|smallint|jsonb|text|smallint|smallint|text|smallint|smallint|smallint|jsonb|jsonb

H|9|[8,12,2]|9T34|0|9|[[8,1],[4,3,1,1],[2,2,2,2,1]]|9T34-8.1_4.3.1.1_2.2.2.2.1|1|9|9T34-[8,12,2]-81-4311-22221-g0|2|8|12|[[[2,3,4,5,6,7,8,1,9],[1,8,3,2,4,7,9,5,6],[2,1,4,3,5,8,9,6,7]],[[2,3,4,5,6,7,8,1,9],[1,8,3,2,7,9,6,4,5],[2,1,4,3,8,9,7,5,6]],[[2,3,4,5,6,7,8,1,9],[1,8,3,2,6,9,4,7,5],[2,1,4,3,7,9,5,8,6]],[[2,3,4,5,6,7,8,1,9],[1,8,3,2,7,5,9,4,6],[2,1,4,3,8,6,9,5,7]],[[2,3,4,5,6,7,8,1,9],[1,8,2,4,3,7,9,5,6],[2,1,3,5,4,8,9,6,7]],[[2,3,4,5,6,7,8,1,9],[1,8,6,4,3,9,2,7,5],[2,1,7,5,4,9,3,8,6]],[[2,3,4,5,6,7,8,1,9],[1,8,6,4,3,5,2,9,7],[2,1,7,5,4,6,3,9,8]],[[2,3,4,5,6,7,8,1,9],[1,8,2,7,5,4,9,3,6],[2,1,3,8,6,5,9,4,7]],[[2,3,4,5,6,7,8,1,9],[1,8,6,9,5,4,2,7,3],[2,1,7,9,6,5,3,8,4]]]|[[1,2,3,4,5,6,7,8,9]]
H|12|[8,12,2]|9T34|0|12|[[8,1],[4,3,2],[2,2,2,1,1,1]]|9T34-8.1_4.3.2_2.2.2.1.1.1|1|9|9T34-[8,12,2]-81-432-222111-g0|2|8|12|[[[2,3,4,5,6,7,8,1,9],[6,3,2,1,4,5,8,9,7],[7,4,3,2,5,6,1,9,8]],[[2,3,4,5,6,7,8,1,9],[4,3,9,1,8,5,6,7,2],[5,4,9,2,1,6,7,8,3]],[[2,3,4,5,6,7,8,1,9],[3,1,2,8,6,5,4,9,7],[4,2,3,1,7,6,5,9,8]],[[2,3,4,5,6,7,8,1,9],[5,4,2,3,1,8,6,9,7],[6,5,3,4,2,1,7,9,8]],[[2,3,4,5,6,7,8,1,9],[5,4,2,3,1,8,9,7,6],[6,5,3,4,2,1,9,8,7]],[[2,3,4,5,6,7,8,1,9],[6,4,9,3,1,5,8,7,2],[7,5,9,4,2,6,1,8,3]],[[2,3,4,5,6,7,8,1,9],[6,4,2,9,1,5,8,7,3],[7,5,3,9,2,6,1,8,4]],[[2,3,4,5,6,7,8,1,9],[6,1,4,3,2,5,8,9,7],[7,2,5,4,3,6,1,9,8]],[[2,3,4,5,6,7,8,1,9],[5,3,2,1,4,8,6,9,7],[6,4,3,2,5,1,7,9,8]],[[2,3,4,5,6,7,8,1,9],[5,3,2,1,4,8,9,7,6],[6,4,3,2,5,1,9,8,7]],[[2,3,4,5,6,7,8,1,9],[3,1,2,8,9,7,6,5,4],[4,2,3,1,9,8,7,6,5]],[[2,3,4,5,6,7,8,1,9],[8,1,4,3,2,7,9,5,6],[1,2,5,4,3,8,9,6,7]]]|[[1,2,3,4,5,6,7,8,9]]
H|14|[8,12,3]|9T34|0|14|[[8,1],[4,3,1,1],[3,3,1,1,1]]|9T34-8.1_4.3.1.1_3.3.1.1.1|1|9|9T34-[8,12,3]-81-4311-33111-g0|3|8|12|[[[2,3,4,5,6,7,8,1,9],[1,2,8,3,4,9,6,5,7],[3,1,2,4,5,8,7,9,6]],[[2,3,4,5,6,7,8,1,9],[1,2,8,9,4,5,3,7,6],[3,1,2,7,5,6,9,8,4]],[[2,3,4,5,6,7,8,1,9],[1,2,8,7,4,5,6,9,3],[3,1,2,9,5,6,7,4,8]],[[2,3,4,5,6,7,8,1,9],[1,2,8,3,7,5,6,9,4],[3,1,2,4,9,6,7,5,8]],[[2,3,4,5,6,7,8,1,9],[1,2,8,3,9,5,6,4,7],[3,1,2,4,8,6,7,9,5]],[[2,3,4,5,6,7,8,1,9],[1,2,8,9,4,3,6,7,5],[3,1,2,6,5,9,7,8,4]],[[2,3,4,5,6,7,8,1,9],[1,2,8,3,9,5,4,7,6],[3,1,2,4,7,6,9,8,5]],[[2,3,4,5,6,7,8,1,9],[1,2,8,6,4,5,9,7,3],[3,1,2,9,5,6,4,8,7]],[[2,3,4,5,6,7,8,1,9],[1,5,3,9,4,8,6,7,2],[6,1,9,3,5,2,7,8,4]],[[2,3,4,5,6,7,8,1,9],[1,9,3,7,4,5,6,2,8],[9,1,8,3,5,6,7,4,2]],[[2,3,4,5,6,7,8,1,9],[1,4,3,9,8,5,6,7,2],[5,1,9,3,2,6,7,8,4]],[[2,3,4,5,6,7,8,1,9],[1,9,3,6,4,5,2,7,8],[9,1,7,3,5,6,4,8,2]],[[2,3,4,5,6,7,8,1,9],[1,5,2,4,9,8,6,7,3],[6,1,3,9,4,2,7,8,5]],[[2,3,4,5,6,7,8,1,9],[1,9,2,4,7,5,6,3,8],[9,1,3,8,4,6,7,5,2]]]|[[1,2,3,4,5,6,7,8,9]]
H|6|[8,12,4]|9T34|0|6|[[8,1],[4,3,2],[4,1,1,1,1,1]]|9T34-8.1_4.3.2_4.1.1.1.1.1|1|9|9T34-[8,12,4]-81-432-411111-g0|4|8|12|[[[2,3,4,5,6,7,8,1,9],[4,1,2,3,7,5,6,9,8],[9,2,3,4,1,6,7,5,8]],[[2,3,4,5,6,7,8,1,9],[2,1,6,3,4,5,9,7,8],[9,2,1,4,5,6,3,8,7]],[[2,3,4,5,6,7,8,1,9],[3,1,2,5,4,9,6,7,8],[9,2,3,1,5,4,7,8,6]],[[2,3,4,5,6,7,8,1,9],[4,1,2,3,9,8,6,7,5],[6,2,3,4,1,9,7,8,5]],[[2,3,4,5,6,7,8,1,9],[2,1,9,3,8,5,6,7,4],[5,2,1,4,9,6,7,8,3]],[[2,3,4,5,6,7,8,1,9],[2,1,5,3,4,9,6,7,8],[9,2,1,4,5,3,7,8,6]]]|[[1,2,3,4,5,6,7,8,9]]
H|6|[8,12,5]|9T34|0|6|[[8,1],[4,3,1,1],[5,1,1,1,1]]|9T34-8.1_4.3.1.1_5.1.1.1.1|1|9|9T34-[8,12,5]-81-4311-51111-g0|5|8|12|[[[2,3,4,5,6,7,8,1,9],[1,2,6,3,4,5,9,7,8],[9,1,2,4,5,6,3,8,7]],[[2,3,4,5,6,7,8,1,9],[1,2,9,3,4,8,6,7,5],[6,1,2,4,5,9,7,8,3]],[[2,3,4,5,6,7,8,1,9],[1,2,9,3,8,5,6,7,4],[5,1,2,4,9,6,7,8,3]],[[2,3,4,5,6,7,8,1,9],[1,2,5,3,4,9,6,7,8],[9,1,2,4,5,3,7,8,6]],[[2,3,4,5,6,7,8,1,9],[1,9,2,4,8,5,6,7,3],[5,1,3,9,4,6,7,8,2]],[[2,3,4,5,6,7,8,1,9],[1,4,2,3,5,9,6,7,8],[9,1,3,4,2,5,7,8,6]]]|[[1,2,3,4,5,6,7,8,9]]
H|5|[8,14,2]|9T34|0|5|[[8,1],[7,2],[2,2,1,1,1,1,1]]|9T34-8.1_7.2_2.2.1.1.1.1.1|1|9|9T34-[8,14,2]-81-72-2211111-g0|2|8|14|[[[2,3,4,5,6,7,8,1,9],[2,1,8,3,4,5,6,9,7],[3,2,1,4,5,6,7,9,8]],[[2,3,4,5,6,7,8,1,9],[2,1,8,9,4,5,6,7,3],[3,2,1,9,5,6,7,8,4]],[[2,3,4,5,6,7,8,1,9],[2,1,8,3,4,5,9,7,6],[3,2,1,4,5,6,9,8,7]],[[2,3,4,5,6,7,8,1,9],[2,1,8,3,4,9,6,7,5],[3,2,1,4,5,9,7,8,6]],[[2,3,4,5,6,7,8,1,9],[2,1,8,3,9,5,6,7,4],[3,2,1,4,9,6,7,8,5]]]|[[1,2,3,4,5,6,7,8,9]]
H|2|[8,14,3]|9T34|0|2|[[8,1],[7,2],[3,1,1,1,1,1,1]]|9T34-8.1_7.2_3.1.1.1.1.1.1|1|9|9T34-[8,14,3]-81-72-3111111-g0|3|8|14|[[[2,3,4,5,6,7,8,1,9],[7,1,2,3,4,5,6,9,8],[9,2,3,4,5,6,7,1,8]],[[2,3,4,5,6,7,8,1,9],[2,1,9,3,4,5,6,7,8],[9,2,1,4,5,6,7,8,3]]]|[[1,2,3,4,5,6,7,8,9]]
H|16|[8,15,2]|9T34|0|16|[[8,1],[5,3,1],[2,2,2,1,1,1]]|9T34-8.1_5.3.1_2.2.2.1.1.1|1|9|9T34-[8,15,2]-81-531-222111-g0|2|8|15|[[[2,3,4,5,6,7,8,1,9],[1,8,2,3,4,7,9,5,6],[2,1,3,4,5,8,9,6,7]],[[2,3,4,5,6,7,8,1,9],[1,8,6,3,4,9,2,7,5],[2,1,7,4,5,9,3,8,6]],[[2,3,4,5,6,7,8,1,9],[1,8,2,3,6,9,4,7,5],[2,1,3,4,7,9,5,8,6]],[[2,3,4,5,6,7,8,1,9],[1,8,6,9,4,5,2,7,3],[2,1,7,9,5,6,3,8,4]],[[2,3,4,5,6,7,8,1,9],[1,8,6,3,9,5,2,7,4],[2,1,7,4,9,6,3,8,5]],[[2,3,4,5,6,7,8,1,9],[1,8,2,7,4,5,9,3,6],[2,1,3,8,5,6,9,4,7]],[[2,3,4,5,6,7,8,1,9],[1,8,5,3,4,2,6,9,7],[2,1,6,4,5,3,7,9,8]],[[2,3,4,5,6,7,8,1,9],[1,8,2,6,4,5,3,9,7],[2,1,3,7,5,6,4,9,8]],[[2,3,4,5,6,7,8,1,9],[1,8,9,6,4,5,3,7,2],[2,1,9,7,5,6,4,8,3]],[[2,3,4,5,6,7,8,1,9],[1,8,2,9,7,5,6,4,3],[2,1,3,9,8,6,7,5,4]],[[2,3,4,5,6,7,8,1,9],[1,8,2,5,9,3,6,7,4],[2,1,3,6,9,4,7,8,5]],[[2,3,4,5,6,7,8,1,9],[1,8,2,7,4,9,6,3,5],[2,1,3,8,5,9,7,4,6]],[[2,3,4,5,6,7,8,1,9],[1,8,4,9,2,5,6,7,3],[2,1,5,9,3,6,7,8,4]],[[2,3,4,5,6,7,8,1,9],[1,8,5,3,4,2,9,7,6],[2,1,6,4,5,3,9,8,7]],[[2,3,4,5,6,7,8,1,9],[1,8,9,3,7,5,6,4,2],[2,1,9,4,8,6,7,5,3]],[[2,3,4,5,6,7,8,1,9],[1,8,2,7,9,5,6,3,4],[2,1,3,8,9,6,7,4,5]]]|[[1,2,3,4,5,6,7,8,9]]
H|4|[8,15,4]|9T34|0|4|[[8,1],[5,3,1],[4,1,1,1,1,1]]|9T34-8.1_5.3.1_4.1.1.1.1.1|1|9|9T34-[8,15,4]-81-531-411111-g0|4|8|15|[[[2,3,4,5,6,7,8,1,9],[1,6,2,3,4,5,9,7,8],[9,1,3,4,5,6,2,8,7]],[[2,3,4,5,6,7,8,1,9],[1,9,2,3,4,8,6,7,5],[6,1,3,4,5,9,7,8,2]],[[2,3,4,5,6,7,8,1,9],[1,9,2,8,4,5,6,7,3],[4,1,3,9,5,6,7,8,2]],[[2,3,4,5,6,7,8,1,9],[1,4,2,3,9,5,6,7,8],[9,1,3,4,2,6,7,8,5]]]|[[1,2,3,4,5,6,7,8,9]]
H|6|[8,2,4]|9T34|0|6|[[8,1],[2,2,2,1,1,1],[4,4,1]]|9T34-8.1_2.2.2.1.1.1_4.4.1|1|9|9T34-[8,2,4]-81-222111-441-g0|2|4|8|[[[5,9,3,2,6,4,1,7,8],[2,1,4,3,6,5,7,8,9],[7,3,4,5,2,6,8,9,1]],[[9,8,3,2,1,5,6,7,4],[2,1,4,3,6,5,7,8,9],[6,3,4,9,5,7,8,1,2]],[[9,8,3,2,7,5,1,6,4],[2,1,4,3,6,5,7,8,9],[7,3,4,9,5,8,6,1,2]],[[5,1,3,2,9,4,6,7,8],[2,1,4,3,6,5,7,8,9],[1,3,4,5,2,7,8,9,6]],[[2,9,3,7,1,4,5,6,8],[2,1,4,3,6,5,7,8,9],[6,2,4,5,7,8,3,9,1]],[[2,8,3,7,9,4,5,6,1],[2,1,4,3,6,5,7,8,9],[9,2,4,5,7,8,3,1,6]]]|[[1,2,3,4,5,6,7,8,9]]
H|6|[8,2,4]|9T34|0|6|[[8,1],[2,2,2,2,1],[4,2,2,1]]|9T34-8.1_2.2.2.2.1_4.2.2.1|1|9|9T34-[8,2,4]-81-22221-4221-g0|2|4|8|[[[3,7,9,4,6,8,5,1,2],[4,8,9,1,5,7,6,2,3],[2,3,4,1,6,5,8,7,9]],[[3,8,7,5,6,2,4,1,9],[9,8,6,4,7,3,5,2,1],[2,3,9,5,4,7,6,8,1]],[[3,7,5,4,9,2,8,1,6],[4,8,6,1,9,3,7,2,5],[2,3,4,1,6,5,8,7,9]],[[3,5,7,4,9,1,8,2,6],[4,6,8,1,9,2,7,3,5],[2,3,4,1,6,5,8,7,9]],[[3,1,5,4,7,2,9,6,8],[4,2,6,1,8,3,9,5,7],[2,3,4,1,6,5,8,7,9]],[[3,7,2,4,9,8,5,1,6],[4,8,3,1,9,7,6,2,5],[2,3,4,1,6,5,8,7,9]]]|[[1,2,3,4,5,6,7,8,9]]
H|5|[8,2,6]|9T34|0|5|[[8,1],[2,2,1,1,1,1,1],[6,3]]|9T34-8.1_2.2.1.1.1.1.1_6.3|1|9|9T34-[8,2,6]-81-2211111-63-g0|2|6|8|[[[8,5,1,3,4,2,6,7,9],[9,3,2,4,5,6,7,8,1],[2,6,4,5,3,7,8,9,1]],[[4,9,3,2,1,5,6,7,8],[2,1,4,3,5,6,7,8,9],[5,3,4,2,6,7,8,9,1]],[[7,9,3,2,4,5,6,1,8],[2,1,4,3,5,6,7,8,9],[8,3,4,5,6,7,2,9,1]],[[6,8,3,9,4,5,1,7,2],[2,1,4,3,5,6,7,8,9],[7,9,4,5,6,2,8,1,3]],[[5,9,3,7,4,2,6,1,8],[2,1,4,3,5,6,7,8,9],[8,6,4,5,2,7,3,9,1]]]|[[1,2,3,4,5,6,7,8,9]]
H|14|[8,2,6]|9T34|0|14|[[8,1],[2,2,2,1,1,1],[6,2,1]]|9T34-8.1_2.2.2.1.1.1_6.2.1|1|9|9T34-[8,2,6]-81-222111-621-g0|2|6|8|[[[8,4,1,5,3,2,6,7,9],[9,3,2,5,4,6,7,8,1],[2,6,4,3,5,7,8,9,1]],[[3,9,4,2,5,1,6,7,8],[2,1,4,3,6,5,7,8,9],[5,3,2,4,6,7,8,9,1]],[[3,8,4,2,5,9,6,7,1],[2,1,4,3,6,5,7,8,9],[9,3,2,4,6,7,8,1,5]],[[3,7,4,2,5,9,6,1,8],[2,1,4,3,6,5,7,8,9],[8,3,2,4,6,7,1,9,5]],[[9,7,8,3,5,4,6,1,2],[2,1,4,3,6,5,7,8,9],[8,9,3,5,6,7,1,4,2]],[[9,8,1,3,5,7,4,6,2],[2,1,4,3,6,5,7,8,9],[4,9,3,7,6,8,5,1,2]],[[9,6,8,3,5,4,1,7,2],[2,1,4,3,6,5,7,8,9],[7,9,3,5,6,1,8,4,2]],[[9,6,8,3,5,7,4,1,2],[2,1,4,3,6,5,7,8,9],[8,9,3,7,6,1,5,4,2]],[[4,9,8,3,5,2,6,7,1],[2,1,4,3,6,5,7,8,9],[9,5,3,2,6,7,8,4,1]],[[8,6,1,5,2,3,4,7,9],[9,3,2,5,4,6,7,8,1],[2,4,6,7,5,3,8,9,1]],[[7,1,9,8,5,4,6,3,2],[2,1,4,3,6,5,7,8,9],[1,9,8,5,6,7,2,3,4]],[[7,9,3,1,6,4,2,5,8],[2,1,4,3,6,5,7,8,9],[3,7,4,5,8,6,2,9,1]],[[8,3,1,7,6,4,2,5,9],[9,3,2,5,4,6,7,8,1],[2,7,3,6,8,4,5,9,1]],[[7,8,2,6,3,5,4,1,9],[9,3,2,5,4,6,7,8,1],[8,2,4,7,6,5,9,3,1]]]|[[1,2,3,4,5,6,7,8,9]]
H|4|[8,2,6]|9T34|0|4|[[8,1],[2,2,2,2,1],[6,1,1,1]]|9T34-8.1_2.2.2.2.1_6.1.1.1|1|9|9T34-[8,2,6]-81-22221-6111-g0|2|6|8|[[[9,8,7,4,3,5,2,1,6],[9,8,7,5,4,6,3,2,1],[2,3,4,5,6,1,7,8,9]],[[9,8,7,3,5,4,2,1,6],[9,8,7,4,6,5,3,2,1],[2,3,4,5,6,1,7,8,9]],[[9,8,2,7,5,4,3,1,6],[9,8,3,7,6,5,4,2,1],[2,3,4,5,6,1,7,8,9]],[[9,8,3,2,7,5,4,1,6],[9,8,4,3,7,6,5,2,1],[2,3,4,5,6,1,7,8,9]]]|[[1,2,3,4,5,6,7,8,9]]
H|10|[8,2,7]|9T34|0|10|[[8,1],[2,2,2,1,1,1],[7,1,1]]|9T34-8.1_2.2.2.1.1.1_7.1.1|1|9|9T34-[8,2,7]-81-222111-711-g0|2|7|8|[[[8,3,1,2,4,5,6,7,9],[9,3,2,5,4,6,7,8,1],[2,5,3,4,6,7,8,9,1]],[[8,3,1,6,4,2,5,7,9],[9,3,2,5,4,6,7,8,1],[2,6,3,4,7,5,8,9,1]],[[2,9,1,3,5,4,6,7,8],[2,1,4,3,6,5,7,8,9],[4,2,3,5,6,7,8,9,1]],[[2,8,9,3,5,4,6,7,1],[2,1,4,3,6,5,7,8,9],[9,2,3,5,6,7,8,1,4]],[[2,9,1,3,5,7,4,6,8],[2,1,4,3,6,5,7,8,9],[4,2,3,7,6,8,5,9,1]],[[2,7,9,3,5,4,6,1,8],[2,1,4,3,6,5,7,8,9],[8,2,3,5,6,7,1,9,4]],[[2,8,9,3,5,7,4,6,1],[2,1,4,3,6,5,7,8,9],[9,2,3,7,6,8,5,1,4]],[[2,6,9,3,5,4,1,7,8],[2,1,4,3,6,5,7,8,9],[7,2,3,5,6,1,8,9,4]],[[2,6,9,3,5,7,4,1,8],[2,1,4,3,6,5,7,8,9],[8,2,3,7,6,1,5,9,4]],[[7,3,8,2,4,5,6,1,9],[9,3,2,5,4,6,7,8,1],[8,5,3,4,6,7,9,2,1]]]|[[1,2,3,4,5,6,7,8,9]]
H|5|[8,20,2]|9T34|0|5|[[8,1],[5,4],[2,2,1,1,1,1,1]]|9T34-8.1_5.4_2.2.1.1.1.1.1|1|9|9T34-[8,20,2]-81-54-2211111-g0|2|8|20|[[[2,3,4,5,6,7,8,1,9],[9,6,2,3,4,5,1,7,8],[9,7,3,4,5,6,2,8,1]],[[2,3,4,5,6,7,8,1,9],[9,1,7,3,4,5,6,2,8],[9,2,8,4,5,6,7,3,1]],[[2,3,4,5,6,7,8,1,9],[4,1,2,3,8,5,9,7,6],[5,2,3,4,1,6,9,8,7]],[[2,3,4,5,6,7,8,1,9],[4,1,2,3,8,5,6,9,7],[5,2,3,4,1,6,7,9,8]],[[2,3,4,5,6,7,8,1,9],[4,1,2,3,8,9,6,7,5],[5,2,3,4,1,9,7,8,6]]]|[[1,2,3,4,5,6,7,8,9]]
H|2|[8,20,3]|9T34|0|2|[[8,1],[5,4],[3,1,1,1,1,1,1]]|9T34-8.1_5.4_3.1.1.1.1.1.1|1|9|9T34-[8,20,3]-81-54-3111111-g0|3|8|20|[[[2,3,4,5,6,7,8,1,9],[5,1,2,3,4,9,6,7,8],[9,2,3,4,5,1,7,8,6]],[[2,3,4,5,6,7,8,1,9],[4,1,2,3,9,5,6,7,8],[9,2,3,4,1,6,7,8,5]]]|[[1,2,3,4,5,6,7,8,9]]
H|16|[8,3,4]|9T34|0|16|[[8,1],[3,3,1,1,1],[4,2,2,1]]|9T34-8.1_3.3.1.1.1_4.2.2.1|1|9|9T34-[8,3,4]-81-33111-4221-g0|3|4|8|[[[5,1,3,7,6,9,8,2,4],[9,2,8,3,5,1,7,4,6],[2,3,4,1,6,5,8,7,9]],[[6,1,4,5,8,7,3,2,9],[9,2,8,4,3,6,1,5,7],[2,3,9,5,4,7,6,8,1]],[[4,7,2,3,5,8,6,9,1],[1,9,3,4,7,5,6,2,8],[2,3,4,1,6,5,8,7,9]],[[4,8,2,5,3,7,1,6,9],[9,7,3,4,1,6,8,2,5],[2,3,9,5,4,7,6,8,1]],[[4,9,2,3,7,1,6,8,5],[1,6,3,4,7,9,8,5,2],[2,3,4,1,6,5,8,7,9]],[[4,7,5,3,2,6,8,9,1],[1,9,5,4,6,3,7,2,8],[2,3,4,1,6,5,8,7,9]],[[4,5,9,3,1,6,8,2,7],[1,5,8,4,6,2,7,9,3],[2,3,4,1,6,5,8,7,9]],[[9,7,2,4,6,1,8,5,3],[4,6,3,9,5,8,7,2,1],[2,3,4,1,6,5,8,7,9]],[[6,1,2,5,7,8,3,4,9],[9,2,3,4,8,5,1,6,7],[2,3,9,5,4,7,6,8,1]],[[4,2,7,3,6,9,5,1,8],[1,8,2,4,5,7,9,3,6],[2,3,4,1,6,5,8,7,9]],[[4,7,5,3,6,9,1,8,2],[1,7,9,4,5,3,8,2,6],[2,3,4,1,6,5,8,7,9]],[[6,1,9,3,5,4,8,2,7],[6,2,8,4,1,5,7,9,3],[2,3,4,1,6,5,8,7,9]],[[5,1,9,4,6,3,8,2,7],[4,2,8,6,5,1,7,9,3],[2,3,4,1,6,5,8,7,9]],[[4,9,5,3,2,6,8,1,7],[1,8,5,4,6,3,7,9,2],[2,3,4,1,6,5,8,7,9]],[[8,1,5,3,6,9,7,4,2],[8,2,9,4,5,3,1,7,6],[2,3,4,1,6,5,8,7,9]],[[9,1,5,4,6,7,8,2,3],[4,2,8,9,5,3,7,6,1],[2,3,4,1,6,5,8,7,9]]]|[[1,2,3,4,5,6,7,8,9]]
H|1|[8,3,4]|9T34|0|1|[[8,1],[3,3,3],[4,1,1,1,1,1]]|9T34-8.1_3.3.3_4.1.1.1.1.1|1|9|9T34-[8,3,4]-81-333-411111-g0|3|4|8|[[[3,2,9,6,1,5,4,7,8],[2,3,1,5,6,4,8,9,7],[4,1,3,9,5,6,7,8,2]]]|[[1,2,3,4,5,6,7,8,9]]
H|6|[8,3,6]|9T34|0|6|[[8,1],[3,3,1,1,1],[3,2,2,2]]|9T34-8.1_3.3.1.1.1_3.2.2.2|1|9|9T34-[8,3,6]-81-33111-3222-g0|3|6|8|[[[4,2,1,9,3,7,5,6,8],[2,3,1,5,6,4,7,8,9],[2,1,4,3,7,8,5,9,6]],[[5,2,1,9,7,3,4,6,8],[2,3,1,5,6,4,7,8,9],[2,1,5,7,3,8,4,9,6]],[[4,2,9,8,3,7,5,6,1],[2,3,1,5,6,4,7,8,9],[9,1,4,3,7,8,5,6,2]],[[4,9,3,8,2,7,5,6,1],[2,3,1,5,6,4,7,8,9],[9,4,2,3,7,8,5,6,1]],[[7,8,9,5,2,6,3,1,4],[2,3,1,5,6,4,7,8,9],[8,4,7,9,6,5,3,1,2]],[[7,8,4,5,9,6,3,1,2],[2,3,1,5,6,4,7,8,9],[8,9,7,2,6,5,3,1,4]]]|[[1,2,3,4,5,6,7,8,9]]
H|16|[8,3,6]|9T34|0|16|[[8,1],[3,3,1,1,1],[3,3,2,1]]|9T34-8.1_3.3.1.1.1_3.3.2.1|1|9|9T34-[8,3,6]-81-33111-3321-g0|3|6|8|[[[8,3,5,1,7,4,6,2,9],[2,9,4,5,3,6,7,8,1],[3,8,1,6,5,7,4,9,2]],[[4,2,9,8,3,5,6,7,1],[2,3,1,5,6,4,7,8,9],[9,1,4,3,5,7,8,6,2]],[[3,9,6,4,2,8,5,7,1],[2,3,1,5,6,4,7,8,9],[9,4,3,6,7,2,8,5,1]],[[4,9,2,8,5,3,6,7,1],[2,3,1,5,6,4,7,8,9],[9,2,5,3,4,7,8,6,1]],[[9,8,2,4,7,1,6,5,3],[2,3,1,5,6,4,7,8,9],[5,2,9,6,8,7,4,1,3]],[[3,8,9,1,5,7,4,6,2],[2,3,1,5,6,4,7,8,9],[6,9,3,7,4,8,5,1,2]],[[9,5,2,4,7,8,6,1,3],[2,3,1,5,6,4,7,8,9],[8,2,9,6,1,7,4,5,3]],[[3,6,9,8,5,7,4,1,2],[2,3,1,5,6,4,7,8,9],[8,9,3,7,4,1,5,6,2]],[[9,1,6,4,2,7,5,3,8],[2,3,1,5,6,4,7,8,9],[1,4,8,6,7,2,5,9,3]],[[3,9,6,4,2,7,5,1,8],[2,3,1,5,6,4,7,8,9],[8,4,3,6,7,2,5,9,1]],[[6,1,3,2,9,7,5,4,8],[2,3,1,5,6,4,7,8,9],[1,6,2,8,7,3,5,9,4]],[[7,1,9,5,3,6,4,2,8],[2,3,1,5,6,4,7,8,9],[1,8,4,7,6,5,3,9,2]],[[9,1,7,5,2,6,4,3,8],[2,3,1,5,6,4,7,8,9],[1,4,8,7,6,5,2,9,3]],[[2,9,3,8,1,5,6,7,4],[2,3,1,5,6,4,7,8,9],[4,3,2,9,5,7,8,6,1]],[[2,9,3,6,1,8,5,7,4],[2,3,1,5,6,4,7,8,9],[4,3,2,9,7,6,8,5,1]],[[4,1,6,8,2,5,3,7,9],[2,9,4,5,3,6,7,8,1],[1,4,7,9,6,5,8,3,2]]]|[[1,2,3,4,5,6,7,8,9]]
H|4|[8,3,6]|9T34|0|4|[[8,1],[3,3,1,1,1],[6,1,1,1]]|9T34-8.1_3.3.1.1.1_6.1.1.1|1|9|9T34-[8,3,6]-81-33111-6111-g0|3|6|8|[[[6,8,3,7,4,5,2,9,1],[1,9,7,3,5,6,4,2,8],[2,3,4,5,6,1,7,8,9]],[[6,8,2,4,7,5,3,9,1],[1,9,3,7,4,6,5,2,8],[2,3,4,5,6,1,7,8,9]],[[9,7,2,3,4,6,8,1,5],[6,8,3,4,5,9,2,7,1],[2,3,4,5,6,1,7,8,9]],[[6,8,2,3,5,7,4,9,1],[1,9,3,4,7,5,6,2,8],[2,3,4,5,6,1,7,8,9]]]|[[1,2,3,4,5,6,7,8,9]]
H|4|[8,3,6]|9T34|0|4|[[8,1],[3,3,3],[3,2,1,1,1,1]]|9T34-8.1_3.3.3_3.2.1.1.1.1|1|9|9T34-[8,3,6]-81-333-321111-g0|3|6|8|[[[7,3,5,1,4,8,6,2,9],[2,9,4,5,3,7,8,6,1],[3,7,1,4,5,6,9,8,2]],[[3,9,2,7,4,6,1,5,8],[2,3,1,5,6,4,8,9,7],[9,2,3,4,7,5,6,8,1]],[[3,7,2,1,4,5,8,6,9],[2,3,1,5,6,4,8,9,7],[6,2,3,4,5,7,1,9,8]],[[6,1,5,3,7,8,2,4,9],[2,9,4,5,3,7,8,6,1],[1,6,3,7,5,9,4,8,2]]]|[[1,2,3,4,5,6,7,8,9]]
H|2|[8,4,4]|9T34|0|2|[[8,1],[4,1,1,1,1,1],[4,4,1]]|9T34-8.1_4.1.1.1.1.1_4.4.1|1|9|9T34-[8,4,4]-81-411111-441-g0|4|4|8|[[[4,5,2,3,8,6,9,7,1],[1,9,3,4,5,2,6,8,7],[2,3,4,1,6,7,8,5,9]],[[4,2,6,3,8,5,9,7,1],[1,9,2,4,5,6,3,8,7],[2,3,4,1,6,7,8,5,9]]]|[[1,2,3,4,5,6,7,8,9]]
